doc_id,ref,sent_index,skill_digit,inference_reason,confidence
mobility-force-aviator-27bd37197c,2.6,38,3,,low
mobility-force-aviator-27bd37197c,2.6,38,5,,low
mobility-force-aviator-27bd37197c,2.6,39,7,verbs=supervises,medium
mobility-force-aviator-27bd37197c,2.6,39,9,verbs=supervises,medium
mobility-force-aviator-27bd37197c,2.6,40,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.6,40,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.6,40,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.7,41,1,,low
mobility-force-aviator-27bd37197c,2.7,41,3,,low
mobility-force-aviator-27bd37197c,2.7,41,5,,low
mobility-force-aviator-27bd37197c,2.7,42,1,verbs=attaches,medium
mobility-force-aviator-27bd37197c,2.7,42,3,verbs=attaches,medium
mobility-force-aviator-27bd37197c,2.7,42,5,verbs=attaches,medium
mobility-force-aviator-27bd37197c,2.7,43,1,verbs=connects|inspects,medium
mobility-force-aviator-27bd37197c,2.7,43,3,verbs=connects|inspects,medium
mobility-force-aviator-27bd37197c,2.7,43,5,verbs=connects|inspects,medium
mobility-force-aviator-27bd37197c,2.7,44,1,verbs=checks,medium
mobility-force-aviator-27bd37197c,2.7,44,3,verbs=checks,medium
mobility-force-aviator-27bd37197c,2.7,44,5,verbs=checks,medium
mobility-force-aviator-27bd37197c,2.7,45,1,verbs=operates|supervises,medium
mobility-force-aviator-27bd37197c,2.7,45,3,verbs=operates|supervises,medium
mobility-force-aviator-27bd37197c,2.7,45,5,verbs=operates|supervises,medium
mobility-force-aviator-27bd37197c,2.7,45,7,verbs=operates|supervises,medium
mobility-force-aviator-27bd37197c,2.7,45,9,verbs=operates|supervises,medium
special-mission-aviator-ca90ad358d,2.1,0,1,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.1,0,3,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.1,0,5,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.1,1,3,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.1,1,5,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.1,1,7,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.1,1,9,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.1,2,3,verbs=configures,medium
