doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
aircraft-fuel-systems-061ecdac5b,,AIRCRAFT FUEL SYSTEMS,2A675;2A655;2A635;2A615,2A6,1;3;5;7,helper;apprentice;journeyman;craftsman
aircraft-hydraulic-systems-dc5805a472,,AIRCRAFT HYDRAULIC SYSTEMS,2A676;2A656;2A636;2A616,2A6,1;3;5;7,helper;apprentice;journeyman;craftsman
aircraft-electrical-and-environmental-systems-7f79721bbe,,AIRCRAFT ELECTRICAL AND ENVIRONMENTAL SYSTEMS,2A790,2A7,9,superintendent
aircraft-fabrication-f5c7506295,,AIRCRAFT FABRICATION,2A790;2A771;2A751;2A731;2A711,2A7,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aircraft-metals-technology-8f5e321b16,,AIRCRAFT METALS TECHNOLOGY,2A772;2A752;2A732;2A712,2A7,1;3;5;7,helper;apprentice;journeyman;craftsman
nondestructive-inspection-82eb984d27,,NONDESTRUCTIVE INSPECTION,2A773;2A753;2A733,2A7,3;5;7,apprentice;journeyman;craftsman
aircraft-structural-maintenance-3582024dc8,,AIRCRAFT STRUCTURAL MAINTENANCE,2A974*;2A954*;2A934*;2A914*,2A9,1;3;5;7,helper;apprentice;journeyman;craftsman
heavy-aircraft-integrated-avionics-33838ec450,,HEAVY AIRCRAFT INTEGRATED AVIONICS,,,,
fuels-career-field-8d3efa7a68,2F000,FUELS CAREER FIELD,2F091;2F071;2F051;2F031,2F0,3;5;7;9,apprentice;journeyman;craftsman;superintendent
logistics-plans-career-field-7ea2164ac3,2G000,LOGISTICS PLANS CAREER FIELD,2G091;2G071;2G051;2G031;2G011,2G0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
logistics-plans-d7e55415d3,,LOGISTICS PLANS,,,,
missile-and-space-systems-maintenance-career-field-9115a43403,2M000,MISSILE AND SPACE SYSTEMS MAINTENANCE CAREER FIELD,2M090,2M0,9,superintendent
missile-and-space-systems-maintenance-92c4db05f4,,MISSILE AND SPACE SYSTEMS MAINTENANCE,2M090;2M071;2M051*;2M031*;2M011*,2M0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
missile-and-space-systems-electronic-maintenance-b169edec36,,MISSILE AND SPACE SYSTEMS ELECTRONIC MAINTENANCE,2M072;2M052;2M032;2M012,2M0,1;3;5;7,helper;apprentice;journeyman;craftsman
missile-and-space-systems-maintenance-5db23988b2,,MISSILE AND SPACE SYSTEMS MAINTENANCE,2M073;2M053;2M033;2M013,2M0,1;3;5;7,helper;apprentice;journeyman;craftsman
