doc_id,ref,sent_index,text_for_embedding,metadata_json
mobility-force-aviator-27bd37197c,2.2,11,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 3,5,7,9] Determines and verifies passenger, cargo, fuel, and emergency and special equipment distribution and weight.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 11, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.2,12,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 3,5,7,9] Computes and applies aircraft weight and balance.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.2"", ""sent_index"": 12, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.3,13,"[MOBILITY FORCE AVIATOR | Duty 2.3 | Skills: 3,5,7,9] Computes takeoff, climb, cruise, and landing data.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.3"", ""sent_index"": 13, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.3,14,"[MOBILITY FORCE AVIATOR | Duty 2.3 | Skills: 3,5,7,9] Determines engine fuel consumption using airspeed, atmospheric data, charts, computer, or electronic calculator.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.3"", ""sent_index"": 14, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.3,15,"[MOBILITY FORCE AVIATOR | Duty 2.3 | Skills: 1,3,5] Records actual aircraft performance data in flight engineer's log.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.3"", ""sent_index"": 15, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.4,16,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5,7] Operates and monitors engine and aircraft systems controls and indicators according to flight manual procedures.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 16, ""skill_digits"": [""1"", ""3"", ""5"", ""7""]}"
mobility-force-aviator-27bd37197c,2.4,17,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5,7] Assists pilot or performs engine starts, and monitors run-up, flight operations, and engine shutdown.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 17, ""skill_digits"": [""1"", ""3"", ""5"", ""7""]}"
mobility-force-aviator-27bd37197c,2.4,18,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Operates engine controls to provide desired efficiency and economy.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 18, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.4,19,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Monitors engine instruments throughout period of operation.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 19, ""skill_digits"": [""3"", ""5"", ""7""]}"
mobility-force-aviator-27bd37197c,2.4,20,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Controls, monitors, and regulates aircraft systems such as electric, communication, navigation, hydraulic, pneumatic, fuel, air conditioning, and pressurization; ventilation; auxiliary power unit; and lubrication systems.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 20, ""skill_digits"": [""3"", ""5"", ""7""]}"
mobility-force-aviator-27bd37197c,2.4,21,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Observes warning indicators and light for fire, overheat, depressurization, and system failure.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 21, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.4,22,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Reports abnormal conditions to pilot and recommends corrective action.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 22, ""skill_digits"": [""1"", ""3"", ""5""]}"
